GeositeInfo_DataOwner,GeositeInfo_Identifier,GeositeInfo_GeositeType,GeositeInfo_Latitude,GeositeInfo_Longitude,WaterStrike_ConstructionCompletionDate,WaterStrike_YieldMeasurementMethod,WaterStrike_WaterStrikeType,WaterStrike_SeepageValue,WaterStrike_DepthToTop,WaterStrike_DepthToBottom,WaterStrike_TotalBlowYieldValue,WaterStrike_ContributionValue
Dept Water - Pretoria,2828DB00031,Borehole,-28.55418,28.77661,1966/11/01,,Total Yield,,57,,1,
Dept Water - Pretoria,2828DB00102,Borehole,-28.55289,28.82346,,,,,,,,
Dept Water - Pretoria,2828DB00034,Borehole,-28.55258,28.78913,,,,,,,,
Dept Water - Pretoria,024591A,Borehole,-28.55119,28.78758,1970/10/01,,Individual Contribution,,42,,0.5001,0.5
Dept Water - Pretoria,024591A,Borehole,-28.55119,28.78758,1970/10/01,,Individual Contribution,0.0001,28,,0.5001,
Dept Water - Pretoria,2828DB00001,Borehole,-28.55075,28.84027,,,,,,,,
Dept Water - Pretoria,2828DB00002,Borehole,-28.54971,28.83937,1966/08/01,,Total Yield,,30,,0.67,
Dept Water - Pretoria,2828DB00127,Borehole,-28.54848,28.85538,,,,,,,,
Dept Water - Pretoria,2828DB00111,Borehole,-28.54804,28.81975,,,,,,,,
Dept Water - Pretoria,2828DB00080,Borehole,-28.54401,28.84417,1973/06/01,,Individual Contribution,,36,,0.5001,0.5
Dept Water - Pretoria,2828DB00080,Borehole,-28.54401,28.84417,1973/06/01,,Individual Contribution,0.0001,24,,0.5001,
Dept Water - Pretoria,2828DB00012,Borehole,-28.54363,28.88991,,,,,,,,
Dept Water - Pretoria,2828DB00018,Borehole,-28.5413,28.88695,1975/11/01,,Individual Contribution,,40,,3.8001,3.8
Dept Water - Pretoria,2828DB00018,Borehole,-28.5413,28.88695,1975/11/01,,Individual Contribution,0.0001,27,,3.8001,
Dept Water - Pretoria,023390,Borehole,-28.54074,28.88766,1970/02/01,,Total Seepage,0.01,33.5,,,
Dept Water - Pretoria,026111,Borehole,-28.54037,28.89802,1973/05/01,,Total Yield,,36.5,,0.25,
Dept Water - Pretoria,2828DB00104,Borehole,-28.53929,28.8304,,,,,,,,
Dept Water - Pretoria,026110,Borehole,-28.53899,28.88503,1973/05/01,,Total Yield,,27.5,,27.24,
Dept Water - Pretoria,2828DB00103,Borehole,-28.53785,28.83107,1974/10/01,,Total Yield,,40,,1.25,
Dept Water - Pretoria,2828DA00015,Borehole,-28.53655,28.6805,1983/08/09,,Total Seepage,0.0001,70,,,
Dept Water - Pretoria,2828DA00012,Borehole,-28.53654,28.6805,1983/08/10,Float Principle (Thalimedes),Total Yield,,30,,3.33,
Dept Water - Pretoria,2828DB00112,Borehole,-28.5352,28.82213,1974/10/01,,Total Yield,,16,,5,
Dept Water - Pretoria,2828DB00137,Borehole,-28.53432,28.79244,1939/11/10,,Total Seepage,0.0001,91.44,,,
Dept Water - Pretoria,2828DB00138,Borehole,-28.53432,28.79244,1939/10/19,Float Principle (Thalimedes),Total Yield,,14.63,,0.15,
Dept Water - Pretoria,2828DB00139,Borehole,-28.53432,28.79772,1968/05/17,,Individual Contribution,,30.48,,7.6001,7.6
